TQ,DPQ,C,OU,DI,DFT,RD,DFO,DI2,DFT2,RD2,DFO2,DI3,DFT3,RD3,DFO3
3,2,0,2,58,43,15,15,15,15,0,0,0,0,0,0
4,4,2,2,45,30,15,6,15,14,1,0,1,1,0,0
3,2,0,0,15,14,1,1,1,1,0,0,0,0,0,0
2,0,3,3,44,30,14,11,14,9,5,3,5,0,5,1
4,0,3,1,13,10,3,0,3,1,2,2,2,1,1,1
0,2,2,2,17,8,9,0,9,1,8,0,8,8,0,0
2,4,1,0,22,2,20,5,20,8,12,3,12,1,11,5
2,1,2,4,73,17,56,0,56,47,9,2,9,5,4,0
4,1,0,1,53,33,20,4,20,20,0,0,0,0,0,0
0,2,3,4,3,0,3,1,3,0,3,3,3,3,0,0
2,2,2,1,41,15,26,0,26,15,11,2,11,1,10,8
3,1,3,0,36,19,17,14,17,9,8,8,8,5,3,3
3,0,1,1,29,16,13,10,13,0,13,5,13,7,6,4
1,1,0,2,45,35,10,5,10,1,9,5,9,5,4,4
3,2,2,2,41,5,36,16,36,13,23,2,23,21,2,0
2,0,4,1,52,37,15,4,15,2,13,2,13,2,11,0
4,4,3,1,13,3,10,3,10,9,1,0,1,0,1,0
3,2,1,1,50,18,32,25,32,16,16,0,16,5,11,10
4,1,1,0,49,5,44,32,44,19,25,7,25,18,7,7
4,1,1,4,8,6,2,2,2,1,1,0,1,1,0,0
4,3,0,0,34,1,33,26,33,12,21,7,21,10,11,1
3,4,2,4,50,44,6,0,6,6,0,0,0,0,0,0
2,3,0,4,4,0,4,4,4,2,2,2,2,2,0,0
0,2,4,0,59,44,15,8,15,1,14,10,14,9,5,1
4,3,0,3,6,4,2,2,2,1,1,0,1,0,1,0
2,4,3,0,21,13,8,5,8,8,0,0,0,0,0,0
0,1,2,0,63,62,1,0,1,1,0,0,0,0,0,0
1,3,2,0,25,3,22,9,22,5,17,10,17,0,17,12
3,1,4,4,39,33,6,1,6,0,6,0,6,4,2,1
1,1,0,4,46,3,43,17,43,9,34,4,34,2,32,26
2,2,1,0,20,18,2,2,2,2,0,0,0,0,0,0
2,1,2,1,24,1,23,19,23,1,22,16,22,17,5,3
4,1,2,2,18,4,14,2,14,11,3,0,3,1,2,1
3,4,3,1,33,0,33,20,33,5,28,27,28,28,0,0
4,3,0,3,62,41,21,14,21,5,16,8,16,5,11,8
1,4,1,3,8,7,1,0,1,1,0,0,0,0,0,0
4,1,3,1,50,7,43,19,43,41,2,2,2,2,0,0
3,0,0,2,38,5,33,13,33,24,9,5,9,4,5,4
2,0,0,1,48,17,31,8,31,8,23,1,23,1,22,10
1,4,1,1,24,17,7,0,7,2,5,3,5,2,3,0
0,2,2,0,47,23,24,11,24,14,10,5,10,4,6,1
2,1,4,0,54,13,41,24,41,25,16,14,16,5,11,4
1,4,3,4,6,4,2,2,2,2,0,0,0,0,0,0
2,0,3,2,32,7,25,9,25,24,1,1,1,0,1,0
1,3,1,3,54,5,49,14,49,18,31,10,31,4,27,19
3,3,4,3,50,50,0,0,0,0,0,0,0,0,0,0
2,3,4,3,31,28,3,2,3,3,0,0,0,0,0,0
1,3,0,0,43,36,7,6,7,5,2,0,2,0,2,0
1,1,3,1,36,19,17,4,17,12,5,1,5,0,5,0
1,1,3,3,32,32,0,0,0,0,0,0,0,0,0,0
0,2,1,4,54,15,39,27,39,28,11,0,11,10,1,1
3,4,3,3,25,15,10,1,10,7,3,2,3,1,2,2
3,2,0,0,12,0,12,3,12,9,3,3,3,0,3,0
4,3,4,1,42,15,27,26,27,17,10,2,10,6,4,3
1,0,4,4,50,20,30,20,30,9,21,5,21,21,0,0
4,1,3,0,58,0,58,57,58,20,38,5,38,16,22,13
0,0,2,4,60,5,55,46,55,15,40,35,40,3,37,3
1,3,1,0,17,10,7,5,7,6,1,1,1,1,0,0
1,4,0,4,23,12,11,7,11,10,1,0,1,0,1,0
1,3,2,3,42,29,13,13,13,9,4,3,4,3,1,1
2,4,2,1,21,9,12,1,12,4,8,6,8,4,4,2
4,2,0,0,53,8,45,45,45,21,24,18,24,16,8,2
2,1,2,2,40,27,13,2,13,1,12,10,12,12,0,0
0,2,2,0,24,4,20,5,20,8,12,4,12,6,6,6
4,1,1,0,20,20,0,0,0,0,0,0,0,0,0,0
2,1,0,3,23,9,14,0,14,4,10,6,10,1,9,9
2,4,4,2,5,3,2,0,2,0,2,0,2,2,0,0
2,0,2,1,19,8,11,9,11,8,3,0,3,0,3,1
1,4,2,4,28,26,2,1,2,2,0,0,0,0,0,0
3,1,1,1,78,69,9,5,9,2,7,0,7,7,0,0
2,2,4,0,43,21,22,13,22,20,2,1,2,2,0,0
3,3,1,3,26,15,11,1,11,11,0,0,0,0,0,0
4,4,4,1,28,12,16,2,16,12,4,4,4,1,3,1
0,0,3,1,38,8,30,5,30,2,28,18,28,18,10,8
0,3,2,2,29,9,20,18,20,9,11,11,11,1,10,5
4,1,1,0,15,3,12,4,12,0,12,6,12,1,11,11
1,4,3,2,53,39,14,7,14,12,2,1,2,1,1,0
0,3,0,1,31,14,17,6,17,0,17,14,17,9,8,3
3,4,4,3,47,23,24,20,24,1,23,12,23,5,18,15
2,4,0,0,35,27,8,2,8,7,1,0,1,0,1,1
3,3,2,3,55,34,21,12,21,17,4,0,4,0,4,4
1,4,1,3,53,6,47,20,47,4,43,38,43,6,37,33
4,0,1,3,22,10,12,1,12,10,2,2,2,0,2,1
0,4,4,1,20,11,9,2,9,2,7,3,7,0,7,2
3,3,1,3,26,7,19,19,19,19,0,0,0,0,0,0
3,0,3,3,14,1,13,1,13,11,2,0,2,2,0,0
3,3,4,4,29,8,21,5,21,5,16,15,16,3,13,3
2,0,1,2,74,46,28,3,28,28,0,0,0,0,0,0
2,0,0,2,41,7,34,28,34,11,23,8,23,0,23,18
1,2,4,2,54,21,33,5,33,16,17,10,17,13,4,3
0,3,0,3,3,1,2,2,2,1,1,1,1,0,1,0
0,2,2,4,42,23,19,14,19,15,4,4,4,2,2,0
1,1,3,0,7,2,5,4,5,2,3,3,3,1,2,2
4,4,1,0,22,4,18,18,18,16,2,2,2,0,2,1
0,1,0,0,38,10,28,1,28,24,4,0,4,2,2,0
2,2,1,0,38,14,24,7,24,5,19,3,19,5,14,2
1,2,4,4,35,5,30,29,30,6,24,22,24,24,0,0
3,3,3,0,56,23,33,7,33,21,12,6,12,7,5,0
2,4,4,2,4,0,4,3,4,1,3,0,3,3,0,0
0,2,0,1,38,16,22,9,22,20,2,1,2,1,1,0
4,0,3,1,43,28,15,9,15,13,2,2,2,2,0,0
3,0,0,4,8,5,3,1,3,3,0,0,0,0,0,0
1,3,4,3,39,22,17,17,17,15,2,0,2,1,1,1
4,3,4,2,61,35,26,12,26,15,11,4,11,2,9,0
2,3,2,0,62,13,49,15,49,3,46,29,46,2,44,18
1,4,0,1,29,14,15,1,15,0,15,6,15,7,8,5
0,0,2,3,14,13,1,0,1,0,1,0,1,1,0,0
2,0,0,2,36,29,7,5,7,4,3,1,3,2,1,1
4,0,2,0,33,16,17,17,17,0,17,15,17,9,8,2
4,4,2,4,34,4,30,21,30,16,14,14,14,6,8,2
1,4,4,2,16,3,13,6,13,1,12,11,12,0,12,11
3,4,4,1,42,27,15,5,15,1,14,5,14,4,10,6
1,2,2,2,11,11,0,0,0,0,0,0,0,0,0,0
3,4,1,0,20,16,4,1,4,4,0,0,0,0,0,0
1,1,2,3,23,14,9,4,9,5,4,3,4,1,3,1
0,2,4,0,7,7,0,0,0,0,0,0,0,0,0,0
2,2,3,4,30,7,23,13,23,9,14,1,14,1,13,3
4,1,2,2,31,30,1,0,1,1,0,0,0,0,0,0
2,2,2,2,14,2,12,7,12,4,8,5,8,8,0,0
4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,1,55,52,3,0,3,2,1,1,1,0,1,1
4,4,0,0,28,5,23,3,23,0,23,22,23,20,3,0
2,4,3,4,28,21,7,0,7,7,0,0,0,0,0,0
4,4,2,0,38,0,38,38,38,0,38,1,38,7,31,14
3,2,3,1,13,11,2,1,2,0,2,0,2,2,0,0
3,1,2,3,39,36,3,1,3,1,2,0,2,1,1,0
2,3,0,4,47,34,13,1,13,9,4,0,4,0,4,4
4,0,0,4,52,20,32,6,32,22,10,10,10,6,4,1
0,4,4,0,53,46,7,1,7,7,0,0,0,0,0,0
2,1,0,4,37,3,34,2,34,30,4,0,4,3,1,1
1,0,4,2,46,23,23,21,23,14,9,1,9,4,5,5
1,4,0,1,13,0,13,1,13,9,4,4,4,4,0,0
1,2,0,1,24,13,11,0,11,4,7,4,7,4,3,0
2,2,3,4,18,18,0,0,0,0,0,0,0,0,0,0
4,4,4,1,16,6,10,9,10,0,10,10,10,3,7,4
4,2,1,4,2,0,2,1,2,0,2,1,2,0,2,0
1,1,4,0,39,30,9,6,9,1,8,8,8,3,5,4
1,3,2,4,50,9,41,22,41,26,15,2,15,6,9,9
4,1,4,2,33,12,21,3,21,3,18,5,18,18,0,0
4,3,1,1,57,49,8,0,8,4,4,2,4,2,2,1
2,4,4,2,12,4,8,0,8,7,1,1,1,1,0,0
1,2,0,1,25,17,8,6,8,0,8,3,8,2,6,6
4,4,4,0,53,25,28,19,28,5,23,20,23,5,18,8
4,1,1,4,14,3,11,11,11,3,8,4,8,1,7,3
0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2,3,3,2,38,31,7,6,7,0,7,2,7,7,0,0
0,3,1,2,29,20,9,6,9,0,9,0,9,4,5,1
0,1,1,0,26,16,10,8,10,2,8,0,8,5,3,0
3,1,1,1,26,18,8,4,8,5,3,0,3,2,1,1
0,2,0,2,4,2,2,0,2,2,0,0,0,0,0,0
3,2,0,4,44,30,14,4,14,12,2,2,2,1,1,0
2,0,0,0,55,3,52,33,52,52,0,0,0,0,0,0
2,2,4,1,1,0,1,0,1,1,0,0,0,0,0,0
3,3,0,2,11,1,10,1,10,8,2,0,2,1,1,0
4,0,2,2,33,32,1,0,1,0,1,0,1,0,1,1
4,2,0,1,52,38,14,11,14,8,6,1,6,6,0,0
0,4,4,2,50,34,16,12,16,3,13,3,13,7,6,4
2,1,3,0,31,10,21,8,21,18,3,3,3,1,2,2
2,1,0,1,37,15,22,3,22,7,15,7,15,5,10,8
1,3,4,1,36,32,4,4,4,0,4,2,4,3,1,0
3,0,0,3,37,13,24,0,24,15,9,1,9,0,9,4
2,1,0,1,47,37,10,7,10,8,2,0,2,0,2,0
3,2,1,0,46,13,33,8,33,3,30,20,30,26,4,3
1,0,3,2,8,1,7,7,7,1,6,4,6,6,0,0
3,2,3,1,38,14,24,21,24,7,17,16,17,3,14,8
2,2,2,3,42,8,34,17,34,17,17,3,17,0,17,15
3,1,1,4,6,4,2,2,2,0,2,1,2,2,0,0
2,4,4,2,46,8,38,0,38,25,13,5,13,7,6,5
0,1,1,4,10,6,4,1,4,0,4,3,4,4,0,0
1,2,4,1,21,6,15,10,15,2,13,3,13,12,1,0
3,3,4,1,16,0,16,1,16,13,3,2,3,1,2,0
1,2,3,1,20,12,8,5,8,3,5,1,5,0,5,1
1,1,0,4,42,23,19,19,19,12,7,2,7,4,3,2
0,2,1,4,26,17,9,2,9,7,2,0,2,0,2,0
1,1,1,3,14,6,8,5,8,8,0,0,0,0,0,0
3,4,2,1,16,16,0,0,0,0,0,0,0,0,0,0
3,2,2,3,57,0,57,20,57,39,18,1,18,12,6,3
4,3,1,0,15,4,11,7,11,2,9,0,9,5,4,2
1,2,1,3,24,10,14,14,14,14,0,0,0,0,0,0
3,0,3,1,37,30,7,1,7,7,0,0,0,0,0,0
2,3,0,1,57,28,29,24,29,15,14,9,14,4,10,6
3,4,1,3,68,22,46,44,46,2,44,8,44,16,28,23
2,4,0,2,56,2,54,11,54,22,32,14,32,16,16,13
2,0,4,0,41,24,17,16,17,10,7,0,7,0,7,7
0,3,0,3,35,31,4,3,4,0,4,4,4,2,2,2
4,4,0,0,29,28,1,0,1,1,0,0,0,0,0,0
3,1,3,0,23,2,21,15,21,11,10,2,10,8,2,0
1,2,0,0,35,25,10,8,10,10,0,0,0,0,0,0
1,2,2,2,21,4,17,14,17,7,10,1,10,4,6,0
3,4,3,2,21,15,6,6,6,1,5,4,5,2,3,0
3,3,4,1,34,5,29,14,29,8,21,10,21,18,3,0
4,4,0,1,23,7,16,15,16,0,16,13,16,3,13,1
4,0,0,2,23,19,4,4,4,4,0,0,0,0,0,0
4,1,4,4,57,6,51,19,51,24,27,8,27,8,19,8
3,4,2,4,24,2,22,20,22,16,6,4,6,0,6,4
1,3,3,0,49,33,16,7,16,15,1,0,1,0,1,1
4,3,1,0,18,17,1,1,1,0,1,1,1,1,0,0
1,1,1,3,20,11,9,3,9,6,3,3,3,2,1,1
4,1,4,1,33,29,4,2,4,0,4,0,4,3,1,1
4,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0
1,3,4,1,19,5,14,10,14,4,10,4,10,0,10,4
0,4,4,4,25,17,8,3,8,2,6,3,6,2,4,0
1,4,0,3,23,8,15,1,15,1,14,11,14,8,6,1
3,4,4,0,26,7,19,0,19,11,8,2,8,4,4,0
1,4,0,1,19,9,10,10,10,5,5,0,5,3,2,1
2,3,2,1,30,17,13,12,13,12,1,0,1,0,1,1
0,1,1,4,22,12,10,5,10,4,6,0,6,4,2,1
3,1,4,1,12,7,5,2,5,0,5,2,5,2,3,1
0,1,0,1,21,1,20,18,20,10,10,5,10,4,6,5
3,2,0,1,81,4,77,45,77,35,42,25,42,19,23,9
4,3,2,2,11,2,9,2,9,5,4,3,4,1,3,2
2,1,1,3,18,16,2,0,2,0,2,1,2,2,0,0
2,4,3,4,63,33,30,10,30,15,15,6,15,12,3,2
4,4,4,0,8,8,0,0,0,0,0,0,0,0,0,0
2,3,3,4,11,4,7,3,7,7,0,0,0,0,0,0
2,1,2,0,39,15,24,7,24,24,0,0,0,0,0,0
3,2,3,1,3,0,3,0,3,0,3,1,3,0,3,3
3,2,3,3,35,29,6,3,6,4,2,1,2,1,1,0
4,4,0,0,45,10,35,22,35,18,17,9,17,14,3,2
3,3,2,3,25,24,1,0,1,1,0,0,0,0,0,0
3,0,4,1,20,18,2,1,2,1,1,0,1,0,1,0
1,3,3,4,21,0,21,15,21,21,0,0,0,0,0,0
0,4,4,3,11,3,8,1,8,4,4,1,4,1,3,0
2,3,0,2,49,38,11,11,11,8,3,3,3,2,1,1
3,3,1,2,25,13,12,1,12,1,11,4,11,4,7,4
1,0,3,1,55,20,35,29,35,3,32,1,32,4,28,27
3,2,3,4,2,2,0,0,0,0,0,0,0,0,0,0
4,2,0,1,3,2,1,0,1,0,1,1,1,0,1,0
2,3,2,3,9,2,7,5,7,1,6,3,6,0,6,0
4,1,2,4,19,15,4,2,4,2,2,2,2,0,2,1
0,0,2,4,31,20,11,11,11,4,7,6,7,5,2,2
0,4,1,3,30,26,4,3,4,2,2,2,2,2,0,0
0,0,3,3,47,12,35,24,35,25,10,10,10,10,0,0
4,1,2,4,7,0,7,0,7,3,4,4,4,1,3,1
0,4,4,2,40,10,30,22,30,7,23,12,23,7,16,7
2,2,4,0,21,14,7,0,7,4,3,2,3,0,3,2
4,1,2,4,20,10,10,10,10,2,8,5,8,2,6,3
0,1,3,1,23,17,6,2,6,3,3,2,3,1,2,1
1,2,3,3,51,9,42,23,42,29,13,9,13,6,7,0
2,3,4,3,24,19,5,4,5,4,1,1,1,0,1,1
1,2,4,4,19,15,4,4,4,3,1,0,1,0,1,1
1,0,1,4,58,45,13,10,13,8,5,2,5,5,0,0
1,4,1,1,31,27,4,1,4,0,4,1,4,0,4,1
0,2,0,1,1,0,1,0,1,1,0,0,0,0,0,0
0,4,4,4,41,39,2,1,2,2,0,0,0,0,0,0
4,2,0,3,37,22,15,12,15,4,11,10,11,2,9,7
3,0,4,2,41,27,14,6,14,10,4,0,4,3,1,0
3,3,2,1,45,14,31,7,31,1,30,30,30,1,29,8
2,1,1,4,24,5,19,0,19,12,7,4,7,6,1,0
4,3,0,1,14,5,9,1,9,9,0,0,0,0,0,0
4,3,2,2,56,14,42,18,42,32,10,7,10,3,7,5
0,0,4,0,9,4,5,0,5,0,5,0,5,3,2,1
4,2,3,4,18,9,9,1,9,9,0,0,0,0,0,0
1,4,3,2,21,21,0,0,0,0,0,0,0,0,0,0
0,3,2,2,39,31,8,7,8,1,7,0,7,7,0,0
4,2,2,2,16,8,8,6,8,5,3,3,3,2,1,0
3,0,3,0,6,0,6,5,6,3,3,2,3,1,2,2
2,2,1,0,27,26,1,0,1,1,0,0,0,0,0,0
3,4,1,3,9,1,8,4,8,5,3,2,3,1,2,0
0,0,0,1,24,0,24,8,24,9,15,5,15,9,6,5
0,0,2,3,22,16,6,0,6,4,2,1,2,0,2,1
2,3,2,3,43,39,4,3,4,0,4,2,4,0,4,2
1,3,3,4,29,8,21,3,21,0,21,5,21,9,12,11
4,4,3,3,4,2,2,1,2,2,0,0,0,0,0,0
1,1,1,2,47,34,13,6,13,8,5,1,5,2,3,1
0,3,3,0,24,20,4,2,4,1,3,0,3,1,2,2
4,4,3,0,52,19,33,10,33,1,32,11,32,3,29,0
1,4,0,1,62,13,49,38,49,29,20,5,20,16,4,3
4,2,1,2,25,7,18,17,18,1,17,2,17,12,5,1
0,0,3,2,6,5,1,0,1,0,1,0,1,1,0,0
2,2,0,4,40,14,26,16,26,11,15,12,15,3,12,6
3,3,4,3,3,3,0,0,0,0,0,0,0,0,0,0
0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,30,28,2,0,2,0,2,2,2,2,0,0
2,0,1,0,23,22,1,0,1,0,1,0,1,1,0,0
2,4,3,2,47,23,24,17,24,19,5,1,5,1,4,0
0,2,0,1,18,6,12,8,12,2,10,6,10,9,1,0
3,4,1,2,34,23,11,4,11,1,10,10,10,8,2,2
4,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0
4,0,4,2,63,5,58,54,58,36,22,11,22,4,18,7
4,0,0,3,20,5,15,3,15,10,5,1,5,5,0,0
3,1,0,0,76,29,47,10,47,47,0,0,0,0,0,0
4,3,0,1,27,11,16,8,16,14,2,2,2,0,2,0
2,0,0,4,27,22,5,1,5,3,2,2,2,1,1,0
0,0,0,2,15,0,15,2,15,12,3,2,3,0,3,2
0,1,4,3,25,24,1,0,1,1,0,0,0,0,0,0
0,4,0,0,63,57,6,4,6,1,5,0,5,2,3,1
2,2,1,3,60,51,9,4,9,0,9,9,9,8,1,1
3,0,2,2,44,8,36,32,36,11,25,17,25,1,24,18
3,1,1,0,15,7,8,1,8,8,0,0,0,0,0,0
1,2,1,3,29,9,20,1,20,8,12,7,12,12,0,0
2,2,2,4,38,19,19,14,19,7,12,1,12,12,0,0
1,1,1,4,73,43,30,0,30,18,12,5,12,8,4,4
3,2,4,0,13,9,4,1,4,0,4,4,4,2,2,2
2,0,4,3,30,3,27,25,27,18,9,5,9,5,4,0
2,2,2,4,41,37,4,3,4,1,3,3,3,0,3,3
2,1,4,2,79,33,46,25,46,38,8,4,8,0,8,6
0,0,4,0,31,7,24,12,24,17,7,4,7,3,4,4
3,0,3,4,27,15,12,1,12,3,9,3,9,2,7,5
0,3,4,1,61,16,45,23,45,27,18,10,18,1,17,2
1,4,3,0,69,32,37,30,37,2,35,32,35,22,13,2
3,0,3,2,4,2,2,2,2,1,1,0,1,0,1,0
1,3,3,4,26,13,13,3,13,8,5,5,5,5,0,0
2,2,2,2,61,29,32,27,32,20,12,7,12,12,0,0
0,3,0,3,51,4,47,21,47,40,7,5,7,1,6,4
2,4,2,1,88,41,47,31,47,18,29,25,29,15,14,0
0,2,2,3,6,6,0,0,0,0,0,0,0,0,0,0
2,0,3,4,30,29,1,1,1,0,1,1,1,1,0,0
4,3,1,4,31,11,20,13,20,9,11,2,11,7,4,1
4,4,0,2,1,0,1,0,1,0,1,1,1,1,0,0
4,3,0,1,30,9,21,8,21,11,10,1,10,5,5,4
3,3,3,4,25,8,17,11,17,9,8,0,8,4,4,3
1,0,0,0,68,41,27,2,27,6,21,17,21,0,21,8
0,1,3,3,30,2,28,21,28,18,10,4,10,0,10,10
4,2,3,1,30,8,22,5,22,3,19,13,19,0,19,3
4,2,1,0,8,0,8,3,8,2,6,5,6,1,5,2
1,2,2,3,2,0,2,0,2,2,0,0,0,0,0,0
3,4,3,1,40,33,7,1,7,3,4,0,4,1,3,1
0,0,0,3,28,24,4,2,4,0,4,3,4,3,1,1
0,2,2,1,36,14,22,3,22,6,16,15,16,12,4,1
3,4,3,0,2,0,2,0,2,2,0,0,0,0,0,0
0,3,2,4,29,8,21,2,21,13,8,4,8,5,3,3
1,3,3,4,44,33,11,5,11,3,8,1,8,6,2,2
4,4,0,0,26,10,16,8,16,10,6,4,6,5,1,1
1,2,2,4,69,60,9,9,9,1,8,7,8,3,5,3
1,1,1,4,32,18,14,8,14,7,7,5,7,4,3,0
2,1,2,2,42,33,9,0,9,0,9,6,9,2,7,0
3,3,2,1,37,16,21,7,21,21,0,0,0,0,0,0
3,4,4,2,35,11,24,15,24,7,17,2,17,0,17,10
2,0,4,3,17,16,1,1,1,1,0,0,0,0,0,0
0,1,3,0,20,17,3,2,3,0,3,1,3,3,0,0
2,2,2,0,28,1,27,11,27,1,26,18,26,23,3,0
1,0,1,4,38,20,18,17,18,5,13,6,13,4,9,4
4,2,4,4,4,2,2,1,2,1,1,1,1,1,0,0
1,2,3,2,29,11,18,7,18,0,18,10,18,13,5,0
1,0,1,1,49,48,1,1,1,1,0,0,0,0,0,0
3,4,1,4,30,12,18,9,18,16,2,0,2,2,0,0
4,1,2,3,29,23,6,0,6,1,5,4,5,3,2,1
1,4,3,4,26,22,4,4,4,3,1,0,1,1,0,0
1,3,4,4,34,0,34,6,34,13,21,10,21,14,7,2
4,3,4,4,25,11,14,5,14,6,8,7,8,7,1,1
3,4,0,4,3,2,1,1,1,0,1,0,1,0,1,1
0,0,1,0,19,10,9,3,9,5,4,2,4,3,1,0
2,3,4,3,38,29,9,7,9,1,8,2,8,8,0,0
0,1,0,1,59,31,28,6,28,4,24,17,24,1,23,6
4,1,0,0,23,18,5,4,5,1,4,3,4,1,3,1
4,3,1,0,39,19,20,12,20,15,5,4,5,0,5,4
0,2,0,3,7,6,1,1,1,0,1,1,1,0,1,1
0,0,4,0,62,15,47,32,47,45,2,2,2,1,1,0
1,1,4,3,5,5,0,0,0,0,0,0,0,0,0,0
3,4,1,2,21,18,3,0,3,2,1,0,1,0,1,1
0,2,4,4,39,16,23,17,23,9,14,4,14,10,4,2
3,1,2,0,17,12,5,2,5,1,4,2,4,2,2,2
3,3,2,1,90,4,86,75,86,66,20,15,20,13,7,5
1,2,0,3,53,13,40,1,40,4,36,16,36,33,3,2
4,4,4,3,58,18,40,6,40,13,27,27,27,19,8,1
0,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0
1,0,2,3,62,31,31,13,31,30,1,0,1,0,1,0
3,0,1,3,36,20,16,1,16,12,4,2,4,1,3,0
1,0,2,3,23,12,11,1,11,11,0,0,0,0,0,0
0,1,2,1,73,0,73,6,73,13,60,17,60,13,47,26
1,0,1,0,52,23,29,16,29,15,14,7,14,5,9,3
3,1,2,0,10,0,10,5,10,9,1,1,1,1,0,0
2,2,2,3,30,5,25,12,25,25,0,0,0,0,0,0
2,2,3,0,73,10,63,31,63,41,22,2,22,18,4,4
1,4,0,4,3,2,1,0,1,0,1,1,1,1,0,0
2,1,4,1,39,27,12,0,12,12,0,0,0,0,0,0
4,0,3,3,29,16,13,13,13,5,8,5,8,0,8,2
1,1,4,1,46,45,1,0,1,1,0,0,0,0,0,0
4,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0
0,2,3,0,25,7,18,0,18,11,7,5,7,6,1,0
1,1,1,3,25,16,9,0,9,2,7,6,7,7,0,0
2,2,0,2,6,3,3,1,3,1,2,2,2,2,0,0
3,2,4,0,45,9,36,21,36,17,19,12,19,13,6,6
1,3,4,1,12,11,1,1,1,1,0,0,0,0,0,0
4,3,3,3,57,17,40,38,40,3,37,23,37,27,10,4
3,1,4,1,5,5,0,0,0,0,0,0,0,0,0,0
4,2,4,3,11,10,1,0,1,0,1,1,1,0,1,1
1,1,1,2,14,2,12,4,12,10,2,0,2,2,0,0
3,3,1,0,20,2,18,11,18,11,7,6,7,7,0,0
3,2,0,3,26,17,9,3,9,6,3,3,3,0,3,3
0,2,0,1,24,12,12,9,12,7,5,5,5,1,4,2
0,0,1,4,58,46,12,1,12,5,7,1,7,4,3,2
